#DateTime Holiday HolidayFlag DayOfWeek WeekOfYear Day Month Year PeriodOfDay ForecastWindProduction SystemLoadEA SMPEA ORKTemperature ORKWindspeed CO2Intensity ActualWindProduction SystemLoadEP2 SMPEP2
"tue 1/11/2011 00:00" "" 0 1 44 1 11 2011 0  315.31 3388.77   49.26    6.00    9.30  600.71  356.00 3159.60   54.32
"tue 1/11/2011 00:30" "" 0 1 44 1 11 2011 1  321.80 3196.66   49.26    6.00   11.10  605.42  317.00 2973.01   54.23
"tue 1/11/2011 01:00" "" 0 1 44 1 11 2011 2  328.57 3060.71   49.10    5.00   11.10  589.97  311.00 2834.00   54.23
"tue 1/11/2011 01:30" "" 0 1 44 1 11 2011 3  335.60 2945.56   48.04    6.00    9.30  585.94  313.00 2725.99   53.47
"tue 1/11/2011 02:00" "" 0 1 44 1 11 2011 4  342.90 2849.34   33.75    6.00   11.10  571.52  346.00 2655.64   39.87
"tue 1/11/2011 02:30" "" 0 1 44 1 11 2011 5  342.97 2810.01   33.75    5.00   11.10  562.61  342.00 2585.99   39.87
"tue 1/11/2011 03:00" "" 0 1 44 1 11 2011 6  343.18 2780.52   33.75    5.00    7.40  545.81  336.00 2561.70   39.87
"tue 1/11/2011 03:30" "" 0 1 44 1 11 2011 7  343.46 2762.67   33.75    5.00    9.30  539.38  338.00 2544.33   39.87
"tue 1/11/2011 04:00" "" 0 1 44 1 11 2011 8  343.88 2766.63   33.75    4.00   11.10  538.70  347.00 2549.02   39.87
"tue 1/11/2011 04:30" "" 0 1 44 1 11 2011 9  344.39 2786.80   33.75    4.00    7.40  540.39  338.00 2547.15   39.87
"tue 1/11/2011 05:00" "" 0 1 44 1 11 2011 10  345.02 2817.59   33.75    4.00    7.40  532.30  372.00 2584.58   39.87
"tue 1/11/2011 05:30" "" 0 1 44 1 11 2011 11  342.23 2895.62   47.42    5.00    5.60  547.57  361.00 2641.37   39.87
"tue 1/11/2011 06:00" "" 0 1 44 1 11 2011 12  339.22 3039.67   44.31    5.00    3.70  556.14  383.00 2842.19   51.45
"tue 1/11/2011 06:30" "" 0 1 44 1 11 2011 13  335.39 3325.10   45.14    5.00    3.70  590.34  358.00 3082.97   51.45
"tue 1/11/2011 07:00" "" 0 1 44 1 11 2011 14  330.95 3661.02   46.25    4.00    9.30  596.22  402.00 3372.55   52.82
"tue 1/11/2011 07:30" "" 0 1 44 1 11 2011 15  325.93 4030.00   52.84    5.00    3.70  581.52  368.00 3572.64   53.65
"tue 1/11/2011 08:00" "" 0 1 44 1 11 2011 16  320.91 4306.54   59.44    5.00    5.60  577.27  361.00 3852.42   54.21
"tue 1/11/2011 08:30" "" 0 1 44 1 11 2011 17  365.15 4438.05   62.15    6.00    5.60  568.76  340.00 4116.03   58.33
"tue 1/11/2011 09:00" "" 0 1 44 1 11 2011 18  410.55 4585.84   61.81    8.00    7.40  560.79  358.00 4345.42   58.33
"tue 1/11/2011 09:30" "" 0 1 44 1 11 2011 19  458.56 4723.93   61.88    9.00    7.40  542.80  339.00 4427.29   58.33
"tue 1/11/2011 10:00" "" 0 1 44 1 11 2011 20  513.17 4793.60   61.46     NaN     NaN  535.37  324.00 4460.41   58.33
"tue 1/11/2011 10:30" "" 0 1 44 1 11 2011 21  573.36 4829.44   61.28   11.00   13.00  532.52  335.00 4493.22   58.27
"tue 1/11/2011 11:00" "" 0 1 44 1 11 2011 22  636.75 4888.29   61.63   11.00   22.20  534.34  372.00 4513.02   58.26
"tue 1/11/2011 11:30" "" 0 1 44 1 11 2011 23  683.59 4936.25   62.12   11.00   18.50  530.08  415.00 4490.71   58.26
"tue 1/11/2011 12:00" "" 0 1 44 1 11 2011 24  731.07 4995.51   62.83   11.00   22.20  517.55  513.00 4493.73   58.26
"tue 1/11/2011 12:30" "" 0 1 44 1 11 2011 25  780.23 5044.68   60.20   11.00   20.40  506.83  623.00 4481.31   58.15
"tue 1/11/2011 13:00" "" 0 1 44 1 11 2011 26  828.09 5018.80   56.25   12.00   20.40  513.98  683.00 4408.46   54.74
"tue 1/11/2011 13:30" "" 0 1 44 1 11 2011 27  873.81 4916.93   56.25   11.00   24.10  518.96  711.00 4341.14   54.74
"tue 1/11/2011 14:00" "" 0 1 44 1 11 2011 28  920.69 4933.87   56.25   12.00   22.20  525.69  761.00 4338.35   54.14
"tue 1/11/2011 14:30" "" 0 1 44 1 11 2011 29  985.09 4978.87   56.25   11.00   25.90  528.47  750.00 4294.17   53.63
"tue 1/11/2011 15:00" "" 0 1 44 1 11 2011 30 1044.37 5013.10   56.25   11.00   22.20  528.17  758.00 4318.87   53.63
"tue 1/11/2011 15:30" "" 0 1 44 1 11 2011 31 1098.97 5061.10   56.25   11.00   24.10  513.22  805.00 4375.62   53.63
"tue 1/11/2011 16:00" "" 0 1 44 1 11 2011 32 1148.24 5137.37   56.25   11.00   27.80  509.16  782.00 4469.73   54.74
"tue 1/11/2011 16:30" "" 0 1 44 1 11 2011 33 1191.70 5325.37   56.25   11.00   27.80  495.57  861.00 4720.21   58.15
"tue 1/11/2011 17:00" "" 0 1 44 1 11 2011 34 1229.56 5628.84  160.62   11.00   31.50  479.82 1014.00 5179.06  130.38
"tue 1/11/2011 17:30" "" 0 1 44 1 11 2011 35 1281.93 5887.54  247.04   11.00   29.60  460.51 1065.00 5372.97  189.73
"tue 1/11/2011 18:00" "" 0 1 44 1 11 2011 36 1328.42 5871.14  196.43   11.00   33.30  450.42 1138.00 5246.99  130.38
"tue 1/11/2011 18:30" "" 0 1 44 1 11 2011 37 1370.76 5727.71   61.89   11.00   35.20  460.87 1191.00 5051.17   58.26
"tue 1/11/2011 19:00" "" 0 1 44 1 11 2011 38 1407.50 5532.86   56.25   12.00   35.20  463.02 1230.00 4882.23   58.26
